Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
Niger,1980,2023,0.598342684,3.131670151,2.533327467,423.39073155609935,0.0975139360991113,0.11971275663831661,0.022198820539205313,22.76476719865236
Reunion,1980,2011,0.60027,2.687415363,2.087145363,347.70109500724675,1.0852162405493062,3.173680313232922,2.0884640726836157,192.44681333063107
Togo,1980,2023,0.58233,2.656090099,2.0737600990000002,356.11424776329574,0.1993670431039264,0.2854679596192614,0.08610091651533502,43.18713623617931
Guadeloupe,1980,2011,0.48529,2.513874844,2.028584844,418.014969193678,1.4651989215334031,6.145596888422772,4.680397966889369,319.4377158011487
Nicaragua,1980,2023,1.84261,3.80600231,1.9633923100000001,106.55495791296042,0.5665380335708705,0.5577693679286911,-0.008768665642179374,-1.5477629254492877
Martinique,1980,2011,0.63457,2.585919279,1.951349279,307.5073323667996,1.9097218042397468,6.553848615563976,4.644126811324229,243.18342080055157
Congo-Brazzaville,1980,2023,0.720720132,2.659740877,1.939020745,269.0393481335415,0.3940546980975787,0.43017796336176395,0.036123265264185245,9.167068794911344
Haiti,1980,2023,0.956808821,2.854235219,1.897426398,198.30778692204385,0.17041767101677746,0.24526399530823037,0.07484632429145291,43.91934465768186
Maldives,1980,2023,0.01406,1.90800047,1.89394047,13470.415860597439,0.08529741863075196,3.627418696791218,3.542121278160466,4152.671130053915
Chad,1980,2023,0.27621,2.054001914,1.777791914,643.6377806741248,0.06116994241773749,0.10631997177916525,0.04515002936142776,73.81080899683106
Yemen,1980,2023,6.43422,8.193436141,1.7592161409999996,27.34156029790712,0.674209224887089,0.2080038014206363,-0.4662054234664527,-69.14847887827833
Malawi,1980,2023,0.567819303,2.264655619,1.696836316,298.83385560071383,0.09062591570480323,0.10730686655155683,0.016680950846753598,18.406380467468754
Austria,1980,2023,55.262930269,56.959176834,1.6962465649999956,3.069411188916837,7.3191998243538166,6.23287486688199,-1.0863249574718266,-14.842127330055973
Rwanda,1980,2023,0.15247,1.644988461,1.492518461,978.8931993178986,0.028481715530670196,0.11788254666784193,0.08940083113717173,313.88850520925087
Gabon,1980,2023,1.690205825,3.143501036,1.453295211,85.98332756307948,2.2584589364621874,1.26509777530406,-0.9933611611581274,-43.9840257938982
Tajikistan,1992,2023,7.262872968,8.616477788,1.3536048199999993,18.63731922565549,1.285600766099055,0.829320851989451,-0.4562799141096039,-35.49157142260506
Iceland,1980,2023,1.796433231,3.101085644,1.304652413,72.6245980360625,7.874119990006311,8.00160400249769,0.12748401249137853,1.619025524797424
Guyana,1980,2023,1.42148,2.638878769,1.217398769,85.64304590989673,1.8356670674241025,3.1934037499712598,1.3577366825471573,73.96421206446763
Uruguay,1980,2023,5.757630463,6.89648167,1.138851207,19.779859341764777,1.9504478773882916,2.0355126308963687,0.08506475350807707,4.361293346735383
Macau,1980,2023,0.45889,1.595141336,1.136251336,247.60865043910303,1.8646712475162233,2.2343668911574532,0.36969564364123,19.826317595322575
Montenegro,2006,2023,1.70241617,2.808346088,1.105929918,64.96237156863941,2.6857454750256755,4.432700217188171,1.7469547421624956,65.0454318328804
Aruba,1986,2023,0.1,1.163000332,1.0630003319999999,1063.0003319999998,1.5718080508008363,10.774607250391425,9.202799199590588,585.4912878771528
Namibia,1990,2023,2.4,3.459988549,1.0599885490000003,44.166189541666675,1.7527165280438295,1.1676940999191725,-0.585022428124657,-33.37804024576572
Lesotho,1980,2023,0.14593,1.148215598,1.0022855979999998,686.8262852052353,0.10375245019448696,0.4967464879522659,0.3929940377577789,378.7804885774748
Burundi,1980,2023,0.0981,0.838375423,0.740275423,754.6130713557594,0.022378325553766606,0.061242447505195606,0.038864121951429,173.66858775046995
Bhutan,1980,2023,0.004403549,0.732751421,0.7283478720000001,16540.01969774834,0.010160379230463956,0.9317973015761999,0.9216369223457359,9070.890972084819
Seychelles,1980,2023,0.21036,0.893092416,0.682732416,324.55429549343984,3.174766073045578,6.979956514603247,3.8051904415576687,119.85734866781286
